,,,,,,,,
CONSEJO NACIONAL DE FIJACIÓN Y REVISIÓN DE PRECIOS DE MEDICAMENTOS DE USO Y CONSUMO HUMANO ,,,,,,,,
CONSOLIDADO DE PRECIOS TECHO ACTUALIZADO,,,,,,,,
,,,,,,,,
Resolución,Item,Sesión de Consejo,Principio Activo,Primer Nivel de Desagregación,Forma Farmacéutica,Concentración ,Presentación Comercial , Precio Techo (USD )  
Resolución 10 (Anexo A),1,,ABACAVIR,SÓLIDO ORAL,SOR-01,300 mg, -,$3.4200
STFP-024-684-2018,,684,ABACAVIR,LÍQUIDO ORAL,LOR-01,20 mg/ml, -,$0.2757
STFP-004-727-2023,,727,ABEMACICLIB,SÓLIDO ORAL,SOR-01,100 mg,-,$41.8800
STFP-009-720-2022,,720,ABEMACICLIB,SÓLIDO ORAL,SOR-01,150 mg, -,$54.4970
Resolución 10 (Anexo A),3,,ABIRATERONA,SÓLIDO ORAL,SOR-01,250 mg, -,$54.2000
STFP-004-731-2023,,731,ACALABRUTINIB,SÓLIDO ORAL,SOR-01,100 mg,-,$83.1732
Resolución 10 (Anexo A),4,,ACEMETACINA,SÓLIDO ORAL,SOR-01,60 mg, -,$1.1000
Resolución 10 (Anexo A),5,,ACEMETACINA,SÓLIDO ORAL,SOR-01,90 mg, -,$1.4500
STFP-003-753-2024,,753,ACETATO DE MEGESTROL,SÓLIDO ORAL,SOR-01,160 mg,-,$2.4711
Resolución 10 (Anexo A),8,,ACETAZOLAMIDA,SÓLIDO ORAL,SOR-01,250 mg, -,$1.0100
Resolución 10 (Anexo A),12,,ACETILCISTEINA,LÍQUIDO PARA INHALACIÓN,LNA-02,100 mg/mL,-,$0.6567
Resolución 10 (Anexo A),13,,ACETILCISTEINA,SÓLIDO ORAL,SOR-03,600 mg,-,$1.0600
Resolución 10 (Anexo A),14,,ACETILCISTEINA,LÍQUIDO PARENTERAL,LPA-02,100 mg/mL,-,$0.6567
Resolución 10 (Anexo A),9,,ACETILCISTEINA,SÓLIDO ORAL,SOR-06,100 mg,sobre,$0.4200
Resolución 10 (Anexo A),10,,ACETILCISTEINA,SÓLIDO ORAL,SOR-06,200 mg,sobre,$0.5700
Resolución 10 (Anexo A),11,,ACETILCISTEINA,SÓLIDO ORAL,SOR-06,600 mg,sobre,$0.9700
Resolución 10 (Anexo A),22,,ACICLOVIR,SÓLIDO ORAL,SOR-01,200 mg,-,$0.2900
Resolución 10 (Anexo A),27,,ACICLOVIR,LÍQUIDO ORAL,LOR-01,200 mg / 5 ml,-,$0.6855
Resolución 10 (Anexo A),32,,ACICLOVIR,SÓLIDO ORAL,SOR-01,400 mg ,-,$0.8300
Resolución 10 (Anexo A),33,,ACICLOVIR,SÓLIDO ORAL,SOR-03,400 mg ,-,$0.8800
Resolución 10 (Anexo A),34,,ACICLOVIR,SÓLIDO ORAL,SOR-01,800 mg,-,$1.2000
Resolución 10 (Anexo A),35,,ACICLOVIR,SÓLIDO ORAL,SOR-03,800 mg,-,$1.9300
STFP-015-715-2022,,715,ACICLOVIR,SÓLIDO PARENTERAL,SPA-04,250 mg,-,$24.1400
Resolución 16-2017,75,674,ACICLOVIR,SEMISÓLIDO OFTÁLMICO,SSF-01,3%  (30 mg/g), -,$2.2029
Resolución 10 (Anexo A),36,,ÁCIDO ACETIL SALICILICO,SÓLIDO ORAL,SOR-03,100 mg,-,$0.0500
Resolución 10 (Anexo A),37,,ÁCIDO ACETIL SALICILICO,SÓLIDO ORAL,SOR-01,100 mg,-,$0.2500
Resolución 10 (Anexo A),40,,ÁCIDO ACETIL SALICILICO,SÓLIDO ORAL,SOR-01/SOR-03,500 mg,-,$0.2000
Resolución 10 (Anexo A),45,,ÁCIDO ALENDRÓNICO (ALENDRONATO SÓDICO),SÓLIDO ORAL,SOR-01,70 mg,-,$4.3000
Resolución 10 (Anexo A),46,,ÁCIDO ALENDRÓNICO (ALENDRONATO SÓDICO),SÓLIDO ORAL,CÁPSULA BLANDA,70 mg,-,$4.8700
Resolución 10 (Anexo A),52,,ÁCIDO ASCÓRBICO (VITAMINA C),LÍQUIDO PARENTERAL,LPA-02,100 mg/ml,-,$0.0980
STFP-004-761-2025,,761,ÁCIDO BEMPEDOICO,SÓLIDO ORAL,SOR-01,180 mg,-,$1.6917
STFP-001-762-2025,,762,ÁCIDO BEMPEDOICO + EZETIMIBA,SÓLIDO ORAL,SOR-01,180 mg + 10 mg,-,$1.9565
STFP-019-703-2021,,703,ÁCIDO FÓLICO,SÓLIDO ORAL,SOR-01,1 mg,-,$0.0120
Resolución 10 (Anexo A),56,,ÁCIDO FÓLICO,SÓLIDO ORAL,SOR-01,5 mg,-,$0.0100
Resolución 10 (Anexo A),57,,ÁCIDO FUSIDICO,SEMISÓLIDO CUTÁNEO,SSC-01,2%,-,$0.3533
STFP-006-739-2024,,739,ÁCIDO GADOTÉRICO,LÍQUIDO PARENTERAL,LPA-02,"279,32 mg/ml
(0,5 mmol/ml)",-,$3.3590
STFP-004-753-2024,,753,ÁCIDO GADOXÉTICO,LÍQUIDO PARENTERAL,LPA-02,"181,430 mg/ml",-,$11.9371
